id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
50800,"Rua Padre Eloi - Acupe de Brotas - Brotas, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,BROTAS,ACUPE DE BROTAS,,-12.9931985,-38.4941577,"16/07/2022, 21:00:00",true,true,RONDESP,Ação policial,,,true,a78b9834-82bb-46bf-97ec-02c8ac3bf22d,People,dead,Chacina,"16/07/2022, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50800,"Rua Padre Eloi - Acupe de Brotas - Brotas, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,BROTAS,ACUPE DE BROTAS,,-12.9931985,-38.4941577,"16/07/2022, 21:00:00",true,true,RONDESP,Ação policial,,,true,8f94968a-efd9-4f57-a5ee-284cb2860013,People,dead,Chacina,"16/07/2022, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50817,"Rua Recanto da Urbis - Periperi, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,PERIPERI,,CONJUNTO HABITACIONAL DOM EUGENIO SALES (URBIS),-12.8668739,-38.477261,"16/07/2022, 21:00:00",false,false,,Disputa,,,false,c0ac57cf-1edf-46c3-936f-a8ddaaaa25d1,People,dead,Sem identificação,"16/07/2022, 21:00:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50810,"Rua Conde de Porto Alegre - Iapi, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,IAPI,,,-12.9541945,-38.4812619,"17/07/2022, 15:29:00",false,false,,Homicidio/Tentativa,,,false,c1c712cd-24b9-4543-b477-eccee3b92959,People,dead,Sem identificação,"16/07/2022, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50791,"Avenida Bahia, Faz Grande Retiro, Salvador - Bahia, Brasil",Nordeste,Bahia,SALVADOR,FAZENDA GRANDE DO RETIRO,,,-12.942027163543418,-38.478499464690685,"17/07/2022, 17:00:00",false,false,,Homicidio/Tentativa,,,false,a55a168c-df81-4bae-98f9-32e91b2a1c5a,People,dead,Sem identificação,"17/07/2022, 17:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50814,"Rua Frederico Costa - Praia Grande, Salvador - BA, 40725-088, Brasil",Nordeste,Bahia,SALVADOR,PRAIA GRANDE,,,-12.86674,-38.4760743,"18/07/2022, 12:00:00",false,false,,Tentativa/Roubo,,,false,56f53fcc-d066-4d45-acde-2ae95d003b4e,People,dead,Sem identificação,"18/07/2022, 12:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50814,"Rua Frederico Costa - Praia Grande, Salvador - BA, 40725-088, Brasil",Nordeste,Bahia,SALVADOR,PRAIA GRANDE,,,-12.86674,-38.4760743,"18/07/2022, 12:00:00",false,false,,Tentativa/Roubo,,,false,d1954fc3-6213-4138-85a7-907fee6910f4,People,dead,Sem identificação,"18/07/2022, 12:00:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50828,"Travessa Joana D'arc - São Gonçalo do Retiro, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,SAO GONCALO,,,-12.9515004,-38.4689361,"18/07/2022, 15:00:00",true,true,N�o identificado,Ação policial,,,false,1fa2bd75-af4d-4e83-8cb4-7ad42746212a,People,dead,Sem identificação,"18/07/2022, 17:00:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50832,"Rua do Marotinho - Fazenda Grande do Retiro, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,FAZENDA GRANDE DO RETIRO,,MAROTINHO,-12.9402645,-38.4791887,"18/07/2022, 17:00:00",false,false,,Homicidio/Tentativa,,,false,bc817824-67c3-4130-9a66-36621bab2282,People,dead,Sem identificação,"18/07/2022, 17:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50855,"Águas Claras, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,AGUAS CLARAS,,LOTEAMENTO CONDOR,-12.8914878,-38.4381777,"19/07/2022, 06:30:00",true,true,"RONDESP, 3CIPM",Operação policial,,,false,b3693d2e-01b8-4cb0-b850-b21c9e08cbc9,People,dead,Sem identificação,"19/07/2022, 06:30:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
